text,category
"Cuál es tu comida favorita","charla"
"Necesito un chiste, sorpréndeme","chsite"
"Puedes contarme un chiste sobre robots","chsite"
"Cuéntame un chiste sobre la escuela","chsite"
"Me apetece reír, qué chiste tienes","chsite"
"Cuéntame un chiste clásico","chsite"
"Algún chiste de programadores","chsite"
"Comparte un chiste inteligente, por favor","chsite"
"El clima va a estar despejado hoy","clima"
"Revisa el pronóstico para este fin de semana","clima"
"Va a haber algún fenómeno meteorológico interesante hoy","clima"
"Está nublado en mi ciudad","clima"
"Quiero saber si habrá sol mañana","clima"
"Descubre la temperatura actual en mi localidad","clima"
"Cómo será el clima en las próximas horas","clima"
"Actualiza el pronóstico del tiempo","clima"
"Avísame si se acerca una tormenta","clima"
"Consulta si habrá vientos fuertes hoy","clima"
"Cuándo es mi próxima reunión","horario"
"Dime la hora de mi próxima llamada","horario"
"Cuándo debo salir para llegar a tiempo a mi cita","horario"
"Activa mi agenda para revisar las reuniones del día","horario"
"Revisa mis compromisos para esta mañana","horario"
"Qué tengo programado para la tarde","horario"
"Hay algún evento importante en mi calendario hoy","horario"
"Confirma la hora de mi almuerzo","horario"
"A qué hora empieza el tráfico normalmente en mi zona","horario"
"Consulta mi horario de clases para el día","horario"
"Revisa la fecha actual en el calendario","fecha"
"Cuál es la fecha de hoy","fecha"
"Puedes indicarme el día de la fecha","fecha"
"Quiero saber qué mes es","fecha"
"Actualiza la fecha en mi sistema","fecha"
"Qué día de la semana es hoy","fecha"
"Proporcióname la fecha en formato largo","fecha"
"Revisa la fecha en tu reloj","fecha"
"Enciende las luces de la sala de estar","luces"
"Complementa la iluminación del comedor","luces"
"Apaga todas las luces de la casa","luces"
"Configura la luz para leer","luces"
"Regula las luces del pasillo","luces"
"Ajusta la luz del estudio a nivel medio","luces"
"Revisa si las luces exteriores están encendidas","luces"
"Recuérdame tomar un descanso en 30 minutos","recordatorio"
"Programa un recordatorio para revisar el correo","recordatorio"
"Establece un aviso para mi reunión de mañana","recordatorio"
"Recuerda enviarme el informe a las 6 PM","recordatorio"
"Pon un recordatorio para llamar al proveedor","recordatorio"
"Agrega un recordatorio para pagar las facturas","recordatorio"
"Recuérdame confirmar mi reserva para este fin de semana","recordatorio"
"Establece un recordatorio para la sesión de entrenamiento","recordatorio"
"Programa un aviso para comprar medicamentos","recordatorio"
"Activa un recordatorio para regar las plantas","recordatorio"
"Hola, ¿cómo estás?","charla"
"Buenas tardes, ¿qué tal tu día?","charla"
"¿Cómo te va hoy?","charla"
"Cuéntame algo interesante","charla"
"Háblame de tus planes para el fin de semana","charla"
"Has visto la última película en cartelera","charla"
"Me gustaría conversar sobre música","charla"
"¿Cuál es tu libro favorito?","charla"
"Cuéntame un poco sobre ti","charla"
"¿Qué opinas sobre la tecnología actual?","charla"
"Hablemos de deportes, ¿qué equipo sigues?","charla"
"¿Qué has hecho hoy?","charla"
"Comparte una anécdota interesante","charla"
"Te gusta la música, ¿qué género prefieres?","charla"
"¿Cuál fue la mejor parte de tu día?","charla"
"¿Qué planes tienes para el fin de semana?","charla"
"Háblame sobre tus hobbies","charla"
"¿Tienes algún sueño recurrente?","charla"
"¿Cuál es tu comida favorita?","charla"
"¿Cómo te sientes hoy?","charla"
"Cuéntame un chiste","chiste"
"Necesito reírme, dame un chiste","chiste"
"Puedes contarme un chiste bueno","chiste"
"Tienes algún chiste nuevo","chiste"
"Cuéntame un chiste de animales","chiste"
"Necesito reírme, ¿qué chiste me cuentas?","chiste"
"Dame un chiste sobre programadores","chiste"
"Puedes contarme un chiste corto","chiste"
"Quiero escuchar un chiste gracioso","chiste"
"Sorpréndeme con tu mejor chiste","chiste"
"Tienes algún chiste ingenioso","chiste"
"Necesito un chiste, sorpréndeme","chiste"
"Puedes contarme un chiste sobre robots","chiste"
"Cuéntame un chiste sobre la escuela","chiste"
"Me apetece reír, ¿qué chiste tienes?","chiste"
"Cuéntame un chiste clásico","chiste"
"Algún chiste de programadores","chiste"
"Comparte un chiste inteligente, por favor","chiste"
"Dime un chiste de matemáticas","chiste"
"¿Sabes algún chiste de fútbol?","chiste"
"Cómo está el clima hoy","clima"
"Va a llover esta tarde en Buenos Aires","clima"
"¿Qué temperatura hace en la ciudad?","clima"
"Cómo está el estado del tiempo en Madrid","clima"
"Se espera lluvia hoy","clima"
"¿Cuál es la previsión del clima para esta semana?","clima"
"¿Está soleado afuera?","clima"
"Necesito datos del clima para planificar mi día","clima"
"¿Habrá tormenta esta noche?","clima"
"¿Qué condiciones meteorológicas anuncian para mañana?","clima"
"¿El pronóstico indica frío o calor para hoy?","clima"
"El clima va a estar despejado hoy","clima"
"Revisa el pronóstico para este fin de semana","clima"
"Va a haber algún fenómeno meteorológico interesante hoy","clima"
"¿Está nublado en mi ciudad?","clima"
"Quiero saber si habrá sol mañana","clima"
"Descubre la temperatura actual en mi localidad","clima"
"¿Cómo será el clima en las próximas horas?","clima"
"Actualiza el pronóstico del tiempo","clima"
"Avísame si se acerca una tormenta","clima"
"A qué hora empieza mi reunión de hoy","horario"
"¿Cuál es mi agenda para esta mañana?","horario"
"Muéstrame mi horario del día","horario"
"¿Cuándo es mi próxima reunión?","horario"
"Dime la hora de mi próxima llamada","horario"
"¿Cuándo debo salir para llegar a tiempo a mi cita?","horario"
"Activa mi agenda para revisar las reuniones del día","horario"
"Revisa mis compromisos para esta mañana","horario"
"¿Qué tengo programado para la tarde?","horario"
"¿Hay algún evento importante en mi calendario hoy?","horario"
"Confirma la hora de mi almuerzo","horario"
"¿A qué hora empieza el tráfico normalmente en mi zona?","horario"
"Consulta mi horario de clases para el día","horario"
"Revisa el calendario de reuniones","horario"
"Muéstrame mis reuniones de la semana","horario"
"¿Tengo alguna videollamada pendiente?","horario"
"Quiero saber mis pendientes de la tarde","horario"
"¿Cuándo es mi próxima reunión importante?","horario"
"Consulta mis eventos del día","horario"
"Revisa mi agenda para la noche","horario"
"Qué fecha es hoy","fecha"
"Dime la fecha actual, por favor","fecha"
"¿Cuál es el día de hoy?","fecha"
"¿Qué día es hoy exactamente?","fecha"
"Indícame la fecha actual","fecha"
"Quiero saber la fecha de hoy","fecha"
"Podrías decirme qué fecha es","fecha"
"Necesito saber el día de la semana","fecha"
"¿Cuál es la fecha de mañana?","fecha"
"Consulta la fecha en mi zona horaria, por favor","fecha"
"Revisa la fecha en el calendario digital","fecha"
"¿Qué mes es?","fecha"
"¿Qué año estamos?","fecha"
"Quiero conocer la fecha exacta","fecha"
"Consulta la fecha en tu sistema","fecha"
"Muéstrame el día de hoy","fecha"
"Verifica la fecha actual","fecha"
"Proporcióname la fecha en formato largo","fecha"
"Revisa la fecha en tu reloj","fecha"
"Indícame la fecha de la semana próxima","fecha"
"Enciende las luces del salón","luces"
"Apaga las luces de la cocina","luces"
"Ajusta la intensidad de las luces del dormitorio","luces"
"Enciende las luces del comedor, por favor","luces"
"Apaga las luces exteriores","luces"
"Ajusta la luz del salón a modo tenue","luces"
"Sube la intensidad de las luces de lectura","luces"
"Enciende las luces de la sala de estar","luces"
"Complementa la iluminación del comedor","luces"
"Apaga todas las luces de la casa","luces"
"Pónme un recordatorio para comprar leche","recordatorio"
"Recuerda recordarme mi cita médica mañana","recordatorio"
"Recuérdame tomar mi medicación a las 8 AM","recordatorio"
"Programa un recordatorio para llamar a mamá","recordatorio"
"Quiero que me recuerdes enviar el correo mañana","recordatorio"
"Pon un recordatorio para llamar al proveedor","recordatorio"
"Agrega un recordatorio para pagar las facturas","recordatorio"
"Hola, ¿qué tal?","charla"
"¿Cómo va todo?","charla"
"Cuéntame algo interesante","charla"
"¿Qué hiciste hoy?","charla"
"¿Cómo te sientes hoy?","charla"
"Me gusta hablar contigo","charla"
"¿Qué opinas del clima?","charla"
"¿Tienes alguna historia interesante?","charla"
"¿Cuál es tu color favorito?","charla"
"Hablemos de películas","charla"
"Recomiéndame una serie","charla"
"¿Qué sabes sobre tecnología?","charla"
"Quiero aprender algo nuevo","charla"
"Dime una curiosidad","charla"
"¿Cómo puedo mejorar mi día?","charla"
"Hablemos sobre comida","charla"
"¿Cuál es tu deporte favorito?","charla"
"Recomiéndame un libro","charla"
"Quiero escuchar música","charla"
"¿Qué planes tienes para hoy?","charla"
"Cuéntame otro chiste","chiste"
"Dame un chiste corto","chiste"
"¿Sabes algún chiste de médicos?","chiste"
"Necesito reírme, dame un chiste","chiste"
"Dime un chiste sobre animales","chiste"
"Cuéntame un chiste malo", "chiste"
"¿Sabes algún chiste de fútbol?","chiste"
"Cuéntame un chiste de matemáticas","chiste"
"Un chiste sobre programadores, por favor","chiste"
"Dame un chiste ingenioso","chiste"
"Sorpréndeme con tu mejor chiste","chiste"
"¿Qué chiste tienes sobre la escuela?","chiste"
"Dime un chiste clásico","chiste"
"Comparte un chiste gracioso","chiste"
"Quiero un chiste sobre robots","chiste"
"Cuéntame algo divertido","chiste"
"¿Cuál es tu mejor chiste?","chiste"
"Dime un chiste sobre matemáticos","chiste"
"¿Sabes un chiste de oficina?","chiste"
"Dame un chiste nuevo","chiste"
"¿Cuál es la temperatura actual?","clima"
"¿Cómo está el tiempo hoy?","clima"
"¿Se espera lluvia esta tarde?","clima"
"¿Hace frío en la ciudad?","clima"
"¿Cuánto calor hace ahora?","clima"
"¿Mañana va a llover?","clima"
"Dime si hace viento hoy","clima"
"¿Cómo estará el clima este fin de semana?","clima"
"Revisa el pronóstico para esta noche","clima"
"¿Estará soleado mañana?","clima"
"¿Qué dice el pronóstico del tiempo?","clima"
"Necesito saber si hará frío","clima"
"¿Hay alerta de tormenta?","clima"
"Quiero saber el clima de la próxima semana","clima"
"¿Va a nevar hoy?","clima"
"Revisa la humedad del ambiente","clima"
"Dime si hay niebla ahora", "clima"
"¿Cuál es la probabilidad de lluvia?","clima"
"¿Estará despejado en la tarde?","clima"
"¿Qué temperatura hará por la noche?","clima"
"¿A qué hora es mi reunión?","horario"
"Dime la hora de mi cita","horario"
"¿Cuándo es mi próxima llamada?","horario"
"Muéstrame mi agenda de hoy","horario"
"¿Tengo reuniones esta tarde?","horario"
"¿Cuándo es mi próxima videollamada?","horario"
"Dime a qué hora empieza mi clase","horario"
"Revisa mi calendario de eventos","horario"
"¿Tengo una alarma programada?","horario"
"¿Cuánto falta para mi cita?","horario"
"Consulta mi horario del día","horario"
"¿Cuándo tengo que salir para mi reunión?","horario"
"¿Qué eventos tengo en la mañana?","horario"
"Revisa mi agenda de esta semana","horario"
"Muéstrame los recordatorios del día","horario"
"¿A qué hora tengo que despertarme?","horario"
"Recuérdame mi reunión importante","horario"
"Consulta mis eventos programados","horario"
"¿Tengo alguna alerta programada?","horario"
"¿Cuánto falta para mi próximo evento?","horario"
"¿Qué día es hoy?","fecha"
"Dime la fecha exacta","fecha"
"¿Cuál es la fecha de mañana?","fecha"
"¿Qué mes estamos?","fecha"
"Quiero saber la fecha de hoy","fecha"
"Consulta la fecha en el calendario","fecha"
"Revisa la fecha de la próxima semana","fecha"
"Dime la fecha en formato largo","fecha"
"Necesito saber qué día es","fecha"
"¿Qué día de la semana es?","fecha"
"Consulta el calendario digital","fecha"
"Muéstrame la fecha actual","fecha"
"¿En qué mes estamos?","fecha"
"Indícame el día de la semana","fecha"
"Verifica la fecha en tu sistema","fecha"
"Dime el año en el que estamos","fecha"
"Consulta la fecha en mi zona horaria","fecha"
Revisa la fecha de mi último evento,fecha
¿Qué día cae el fin de semana?,fecha
Dime si hoy es festivo,fecha
Enciende la luz,luces
Apaga la luz,luces
Pon la luz en color azul,luces
Pon la luz en color rojo,luces
Quiero luz blanca,luces
Configura la luz en modo noche,luces
Aumenta la intensidad de la luz,luces
Reduce el brillo de la luz,luces
Apaga la luz de la sala,luces
Enciende la luz de la cocina,luces
Prende la luz de la habitación,luces
Cambia la luz a color verde,luces
Quiero luz cálida,luces
Quiero luz fría,luces
Ajusta la luz a nivel medio,luces
Ajusta la luz a nivel bajo,luces
Apaga la luz principal,luces
Enciende la lámpara de noche,luces
Quiero luz tenue,luces
Pon la luz en modo relajante,luces
Recuérdame llamar a mi madre,recordatorio
Pon un recordatorio para ir al gimnasio,recordatorio
Recuérdame comprar pan por la tarde,recordatorio
Necesito un recordatorio para pagar el alquiler,recordatorio
Quiero que me avises cuando sea la hora de dormir,recordatorio
Recuérdame tomar agua cada dos horas,recordatorio
Pon un recordatorio para revisar mis correos,recordatorio
Quiero que me recuerdes enviar un mensaje,recordatorio
Recuérdame tomar mis medicinas a las 8 PM,recordatorio
Pon una alerta para mi reunión de mañana,recordatorio
Avisa cuando sea la hora de la cena,recordatorio
Recuérdame regar las plantas el domingo,recordatorio
Pon un recordatorio para sacar la basura,recordatorio
Avísame cuando sean las 6 AM,recordatorio
Recuérdame estudiar para el examen,recordatorio
Quiero que me recuerdes hacer ejercicio,recordatorio
Avisa cuando sea la hora del almuerzo,recordatorio
Pon una alerta para revisar mis tareas,recordatorio
Recuérdame apagar la estufa en 10 minutos,recordatorio
Quiero un recordatorio para el cumpleaños de mi amigo,recordatorio
"Hola, ¿cómo estás?",charla
"Buenas, ¿qué me cuentas?",charla
¿Cómo ha sido tu día?,charla
¿Qué has aprendido hoy?,charla
Dame un dato curioso,charla
Cuéntame una historia,charla
¿Cuál es tu tema favorito?,charla
¿Tienes algo interesante para decir?,charla
Recomiéndame una película,charla
¿Qué opinas sobre los viajes?,charla
Hablemos sobre arte,charla
¿Cuál es la noticia del día?,charla
Enséñame una palabra nueva,charla
¿Cómo puedo ser más productivo?,charla
Quiero hablar sobre tecnología,charla
¿Qué sabes sobre filosofía?,charla
Recomiéndame una canción,charla
Dime algo positivo,charla
Hablemos de ciencia,charla
¿Qué es lo más interesante del universo?,charla
Dime un chiste gracioso,chiste
¿Tienes un chiste de animales?,chiste
Cuéntame un chiste nuevo,chiste
Dime un chiste de papá,chiste
¿Cuál es el chiste más divertido que conoces?,chiste
Quiero un chiste sobre comida,chiste
Cuéntame un chiste de matemáticas,chiste
Dime un chiste sobre fútbol,chiste
"Necesito reírme, dime algo gracioso",chiste
Dame un chiste corto y bueno,chiste
¿Sabes algún chiste sobre doctores?,chiste
Cuéntame un chiste absurdo,chiste
Dame un chiste sobre el trabajo,chiste
Quiero un chiste geek,chiste
Dime un chiste de tecnología,chiste
Dime algo divertido sobre inteligencia artificial,chiste
Cuéntame un chiste de amigos,chiste
Necesito un chiste sobre la escuela,chiste
Dime el chiste más malo que conozcas,chiste
"Un chiste de robots, por favor",chiste
"Apagá la luz, porfa.","luces"
"Dale, apagá la luz ahora mismo.","luces"
"Che, bajá la luz de la sala.","luces"
"Por favor, apagá la luz del cuarto.","luces"
"Apagá la luz, que no hace falta dejarla prendida.","luces"
"Haceme el favor y apagá la luz.","luces"
"Apagá la luz, que ya es hora de descansar.","luces"
"Podés apagar la luz, por favor?","luces"
"Apagá la luz, que ya está oscureciendo.","luces"
"Dale para abajo, apagá la luz.","luces"
"Poné la luz en rojo, porfa.","luces"
"Cambiá a azul la iluminación de la sala.","luces"
"Hacé la luz de color verde, dale.","luces"
"Dejá la luz en amarillo para crear ambiente.","luces"
"Poné la luz en violeta, por favor.","luces"
"Cambiá el color de la luz a naranja.","luces"
"Dale, que la luz se ponga rosa.","luces"
"Ajustá el tono de la luz a celeste.","luces"
"Mandá la luz a un vibrante color fucsia.","luces"
"Ponele a la luz un toque de color turquesa.","luces"
